MARKET,TF,MEAN,BREAKOUT,RTM,RTM_PERCENT,BO_PERCENT,EXIT_PERCENT,STOP_PERC,sharpe_ratio
BTC-PAY,5,20,True,True,2.0,1.0,10.0,15.0,0.138689004875
BTC-STRAT,5,8,True,True,2.0,1.0,5.0,15.0,0.116618036034
BTC-QTUM,5,20,True,True,5.0,1.0,1.0,5.0,-0.0592271304542
BTC-NAV,5,8,True,True,3.0,1.0,10.0,15.0,0.467741875226
BTC-QTUM,5,8,True,True,2.0,1.0,10.0,10.0,0.123716183282
BTC-NEO,5,20,True,True,2.0,1.0,10.0,10.0,0.188575624399
BTC-ETC,5,20,True,True,3.0,1.0,1.0,15.0,0.11224352613
BTC-XMR,5,20,True,True,2.0,1.0,1.0,15.0,0.58238481438
BTC-XRP,5,20,True,True,2.0,1.0,1.0,5.0,0.532555190077
BTC-LSK,5,8,True,True,5.0,1.0,10.0,10.0,0.268859214573
BTC-QTUM,5,8,True,True,3.0,1.0,1.0,5.0,-0.124837644135
BTC-ETH,5,8,True,True,2.0,1.0,1.0,15.0,-0.00475895089941
BTC-STRAT,5,8,True,True,5.0,1.0,10.0,10.0,0.075401686191
BTC-QTUM,5,20,True,True,3.0,1.0,1.0,5.0,0.287287003314
BTC-BCC,5,8,True,True,5.0,1.0,5.0,5.0,0.149952263506
BTC-QTUM,5,8,True,True,3.0,1.0,1.0,10.0,-0.111764127527
BTC-APX,5,8,True,True,3.0,1.0,5.0,10.0,0.328909490136
BTC-NAV,5,20,True,True,5.0,1.0,10.0,15.0,0.645750752822
BTC-LSK,5,20,True,True,5.0,1.0,1.0,10.0,-0.00258444165494
BTC-APX,5,8,True,True,5.0,1.0,10.0,10.0,0.310647502626
BTC-PAY,5,8,True,True,2.0,1.0,5.0,15.0,0.141304696733
BTC-APX,5,8,True,True,5.0,1.0,10.0,5.0,0.358241065919
BTC-XVG,5,20,True,True,3.0,1.0,5.0,10.0,0.644926834051
BTC-NAV,5,20,True,True,3.0,1.0,10.0,15.0,0.690760944451
BTC-BAT,5,20,True,True,5.0,1.0,5.0,15.0,0.222126902209
BTC-RISE,5,20,True,True,5.0,1.0,10.0,15.0,0.781162990329
BTC-ADX,5,20,True,True,2.0,1.0,10.0,15.0,0.514720537658
BTC-OMG,5,20,True,True,3.0,1.0,1.0,15.0,0.258091271541
BTC-DASH,5,8,True,True,2.0,1.0,10.0,10.0,0.172966827491
BTC-XRP,5,8,True,True,3.0,1.0,1.0,5.0,-0.188046190136
BTC-DASH,5,20,True,True,3.0,1.0,10.0,5.0,0.255275128833
BTC-BAT,5,8,True,True,2.0,1.0,1.0,15.0,-0.0514736274109
BTC-PAY,5,20,True,True,5.0,1.0,5.0,5.0,0.351742162313
BTC-ADX,5,8,True,True,2.0,1.0,1.0,5.0,-0.0508211865022
BTC-PAY,5,20,True,True,2.0,1.0,1.0,10.0,0.417405376008
BTC-XMR,5,20,True,True,2.0,1.0,5.0,5.0,0.646975787613
BTC-BAT,5,20,True,True,5.0,1.0,10.0,10.0,0.257290589
BTC-PAY,5,20,True,True,5.0,1.0,1.0,5.0,-0.161220898003
BTC-NEO,5,20,True,True,5.0,1.0,5.0,10.0,0.248829613448
BTC-LSK,5,8,True,True,2.0,1.0,5.0,10.0,0.458925797397
BTC-BCC,5,8,True,True,3.0,1.0,5.0,15.0,0.337627294728
BTC-BCC,5,20,True,True,5.0,1.0,5.0,15.0,0.473464482057
BTC-XRP,5,8,True,True,2.0,1.0,5.0,10.0,0.249296440791
BTC-MTL,5,20,True,True,5.0,1.0,5.0,15.0,0.310436906943
BTC-PAY,5,20,True,True,2.0,1.0,5.0,10.0,0.39115559933
BTC-ADX,5,8,True,True,3.0,1.0,10.0,5.0,0.361019179267
BTC-PAY,5,20,True,True,5.0,1.0,1.0,15.0,0.0231530448162
